Label,,# Samples,,Average,Min,Max,Std. Dev.,Error %,Throughput,Median,90% Line,95% Line,99% Line,,
getLandingPage,,1,,3900,3900,3900,0,0.00%,0.25641,3900,3900,3900,3900,,
saveLogin,,1,,1903,1903,1903,0,0.00%,0.52549,1903,1903,1903,1903,,
selectLaptopsPage,,4,,403,402,404,0.71,0.00%,0.25304,403,404,404,404,,
selectSpesificItem,,4,,1184,1166,1191,10.69,0.00%,0.24107,1190,1191,1191,1191,,
addItemToCart,,4,,453,428,504,30.09,0.00%,0.25272,434,504,504,504,,
goToCart,,4,,1597,1566,1637,25.81,0.00%,0.23554,1587,1637,1637,1637,,
savePurchase,,4,,1443,1388,1512,54.38,0.00%,0.23895,1392,1512,1512,1512,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Label,# Samples,# Samples,response time,Average,Min,Max,Std. Dev.,Error %,Throughput,Median,90% Line,95% Line,99% Line,,
getLandingPage,,1,3.9,3.9,3.9,3.9,0,0.00%,0.25641,3.9,3.9,3.9,3.9,,
saveLogin,,1,1.903,1.903,1.903,1.903,0,0.00%,0.52549,1.903,1.903,1.903,1.903,,
selectLaptopsPage,,4,,0.403,0.402,0.404,0.71,0.00%,0.25304,0.403,0.404,0.404,0.404,,
,user 1,,404,,,,,,,,,,,,
,user 2,,403,,,,,,,,,,,,
,user 3,,402,,,,,,,,,,,,
,user 4,,403,,,,,,,,,,,,
selectSpesificItem,,4,1.612,1.184,1.166,1.191,10.69,0.00%,0.24107,1.19,1.191,1.191,1.191,,
,,,,,,,,,,,,,,,
,user 1,,1190,,,,,,,,,,,,
,user 2,,1191,,,,,,,,,,,,
,user 3,,1166,,,,,,,,,,,,
,user 4,,1191,,,,,,,,,,,,
,,,4.738,,,,,,,,,,,,
addItemToCart,,4,,0.453,0.428,0.504,30.09,0.00%,0.25272,0.434,0.504,0.504,0.504,,
,user 1,,434,,,,,,,,,,,,
,user 2,,504,,,,,,,,,,,,
,user 3,,447,,,,,,,,,,,,
,user 4,,428,,,,,,,,,,,,
,,,1.813,,,,,,,,,,,,
goToCart,,4,,1.597,1.566,1.637,25.81,0.00%,0.23554,1.587,1.637,1.637,1.637,,
,user 1,,1637,,,,,,,,,,,,
,user 2,,1599,,,,,,,,,,,,
,user 3,,1566,,,,,,,,,,,,
,user 4,,1587,,,,,,,,,,,,
,,,6.389,,,,,,,,,,,,
savePurchase,,4,,1.443,1.388,1.512,54.38,0.00%,0.23895,1.392,1.512,1.512,1.512,,
,user 1,,1512,,,,,,,,,,,,
,user 2,,1388,,,,,,,,,,,,
,user 3,,1481,,,,,,,,,,,,
,user 4,,1392,,,,,,,,,,,,
,,,5.773,,,,,,,,,,,,
